name,url,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,transparency_mentioned,how_transparency,data_explainability,how_explainability,post_competition_model_use,how_model_use,toy,how_toy,red_team,how_red_team
Data Science Lab - Spring 2023,https://www.kaggle.com/competitions/data-science-lab-spring-2023,education,no,n/a,yes,The competition states that features are anonymized: 'The meanings of the features were not revealed by the data provider for privacy reasons.',yes,"The competition encourages reproducibility to ensure transparency in methods: 'Setting a random seed (e.g., SEED=42) will allow for reproducibility.'",no,n/a - AUC,yes,The competition results are used for academic assessment: 'The Kaggle Competition final grade (Private LB position + report) counts for 20% of the grade.',yes,"The competition is part of a university course and is for a grade, not a commercial application: 'Welcome to the UT ECE460J Spring 2023 Kaggle Competition!'",no,n/a
Библиотеки для DS2 - 803,https://www.kaggle.com/competitions/ds803,finance,no,n/a,no,n/a,no,n/a,no,n/a - F1,no,n/a,yes,"The competition does not award points or medals, indicating it is for educational or practice purposes rather than a high-stakes challenge. Quote: 'Does not award Points or Medals'",no,n/a
Practical Innovative Analytics Data Science 2023,https://www.kaggle.com/competitions/practical-innovative-data-science-2023,computer vision,no,n/a,no,n/a,no,n/a,no,n/a - macro F1 score,no,n/a,yes,"The competition does not offer significant prizes, points, or medals, suggesting it is for practice or educational purposes. Quote: 'Prizes & Awards Kudos Does not award Points or Medals'",no,n/a
Machine Learning Competition,https://www.kaggle.com/competitions/ids-2021-ut-course,finance,no,n/a,no,n/a,yes,The competition provides a link to the original data source for details on the data attributes. Quote: 'More information about the attributes of data can be found https://archive.ics.uci.edu/ml/datasets/bank+marketing#.',no,n/a - AUC,no,n/a,yes,The competition is framed as an educational exercise for a course and does not offer points or medals. Quote: 'This is the right time to apply everything you have learned so far... Prizes & Awards Kudos Does not award Points or Medals',no,n/a
Data Science: Asset Price Prediction,https://www.kaggle.com/competitions/ss3-final-ds-asset-price-prediction,finance,no,n/a,no,n/a,yes,"The evaluation process is explained: ""ข้อมูล test 50% จะวัดผลใน Public Leaderboard มีวัตถุประสงค์เพื่อใช้พัฒนา model...ข้อมูล test อีก 50% จะวัดผลใน Private Leaderboard...จะใช้ Metric: Mean Absolute Percentage Error (MAPE)""",no,n/a - Mean Absolute Percentage Error (MAPE),no,n/a,yes,The competition is for assessment or practice as it is part of a 'Hackathon Individual Test' and the prize section states it 'Does not award Points or Medals'.,no,n/a
SSSSO Khammam Medchal Competition,https://www.kaggle.com/competitions/sssso-kmm-mdcl-competition,telecommunications,no,n/a,no,n/a,yes,"The evaluation process is explained: 'The evaluation metric for this competition is Mean F1-Score. The F1 score, commonly used in information retrieval, measures accuracy using the statistics precision p and recall r.'",no,n/a - Mean F1-Score,no,n/a,yes,The competition is part of a training program and offers no significant prizes: 'Welcome to the final leg of your training program.' and 'Does not award Points or Medals'.,no,n/a
Flavours of Physics: Finding τ  →  μμμ,https://www.kaggle.com/competitions/flavours-of-physics,physics,yes,"The metric includes checks to ensure unbiased results. ""The metric used in this challenge includes checks that physicists do in their analysis to make sure the results are unbiased.""",no,n/a,yes,"The competition provides GitHub links to the implementation of its custom evaluation checks. ""Please check out the github repo to learn more about how the agreement test is implemented.""",no,n/a - Weighted Area Under the ROC Curve,yes,"There is a specific award for the model most useful for the experiment, with criteria including production suitability. ""An award will be given to the team that... creates a model that is most useful for the LHCb experiment... The suitability for use in production""",no,n/a,no,n/a
Human Activity Recognition Using Smartphones Data Set,https://www.kaggle.com/competitions/human-activity-recognition-using-smartphones-data-set,healthcare,no,n/a,no,n/a,yes,"The competition provides detailed information about the data features in separate files, promoting transparency. Quote: ""If you want to have the names of the features, please take a look at the files 'feature_label.txt' and 'features.txt'.""",no,n/a - categorization accuracy,no,n/a,yes,"The competition is framed as an educational exercise with no significant prize. Quote: ""With the in-class competition you will get another chance to sharpen your prediction skills."" and ""Prizes & Awards: Knowledge. Does not award Points or Medals""",no,n/a
Tweet Sentiment Extraction,https://www.kaggle.com/competitions/tweet-sentiment-extraction,internet,no,n/a,no,n/a,yes,"The source of the dataset is explained and licensed: 'The dataset is titled Sentiment Analysis: Emotion in Text tweets with existing sentiment labels, used here under creative commons attribution 4.0. international licence.'",no,n/a - word-level Jaccard score,yes,Winning solutions must be licensed under an open source license 'that in no event limits commercial use of such code or model containing or depending on such code.',no,n/a,no,n/a
MBI Big Data & Data Science Competition,https://www.kaggle.com/competitions/mbi2022Cup,automotive,no,n/a,no,n/a,yes,The creation of the dataset is explained: 'I built a scraper for a school project and expanded upon it later to create this dataset which includes every used vehicle entry within the United States on Craigslist.',no,n/a - RMSE,no,n/a,yes,"The competition is described as originating from a 'school project' and it 'Does not award Points or Medals', which indicates it's for learning or practice.",no,n/a
