,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,toy,red_team,transparency_mentioned,how_transparency,url
12,Data Science and Machine Learning,no,n/a,no,"The dataset is anonymized and not representative of production characteristics, reducing potential privacy concerns.",no,no,no,"n/a, focusing on metrics like MRR and BLEU scores.",https://www.aicrowd.com/challenges/amazon-kdd-cup-23-multilingual-recommendation-challenge
13,"Public Health, AI and Machine Learning",yes,"The dataset exhibits an unbalanced distribution of mosquito classes, and participants must address this imbalance for accurate detection and classification.",no,n/a,no,no,no,"n/a, filtered Macro F1 score is the primary performance metric.",https://www.aicrowd.com/challenges/mosquitoalert-challenge-2023
14,Computer Vision and Autonomous Systems,no,n/a,no,"The competition ensures removal of personal identifiers and uses realistic flight footage for data collection, minimizing data privacy concerns.",no,no,no,"n/a, the competition focuses on the best performance metric, particularly semantic segmentation and depth estimation scores.",https://www.aicrowd.com/challenges/scene-understanding-for-autonomous-drone-delivery-suadd-23
15,Audio Source Separation,no,n/a,no,n/a,no,no,no,n/a Signal-to-Distortion Ratio (SDR),https://www.aicrowd.com/challenges/sound-demixing-challenge-2023
16,"Computer Vision, E-commerce",no,n/a,no,n/a,no,no,no,"n/a, mean Average Precision (mAP)",https://www.aicrowd.com/challenges/visual-product-recognition-challenge-2023
17,Food Recognition and Machine Learning,no,n/a,no,n/a,no,no,no,n/a. The primary evaluation metric is AP @ IoU=0.50:0.05:0.95.,https://www.aicrowd.com/challenges/food-recognition-benchmark-2022
18,Energy Management,no,n/a,no,n/a,no,no,no,"n/a, district electricity cost and district CO2 emissions are the performance metrics.",https://www.aicrowd.com/challenges/neurips-2022-citylearn-challenge
19,AI and Machine Learning,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on human feedback to assess task completion performance.,https://www.aicrowd.com/challenges/neurips-2022-minerl-basalt-competition
20,Machine Learning/Data Science,no,n/a,no,n/a,no,no,no,n/a (macro-weighted F1 Score is the primary score),https://www.aicrowd.com/challenges/data-purchasing-challenge-2022
21,AI Research and Development,no,n/a,no,n/a,no,no,no,"n/a, the metric is the weighted average F1 score",https://www.aicrowd.com/challenges/neurips-2022-iglu-challenge
22,Artificial Intelligence/Agent-based Simulation,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on a score calculated based on player kills and survival time.,https://www.aicrowd.com/challenges/neurips-2022-the-neural-mmo-challenge
23,E-commerce and Information Retrieval,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on performance metrics like nDCG and Micro F1 Score.,https://www.aicrowd.com/challenges/esci-challenge-for-improving-product-search
24,Machine Learning / Behavioral Neuroscience,no,n/a,no,n/a,no,no,no,n/a (performance metrics include F1 score and mean squared error),https://www.aicrowd.com/challenges/multi-agent-behavior-challenge-2022
25,"Computer Vision, Autonomous Systems",no,n/a,no,n/a,no,no,no,n/a - The competition focuses on detection rate metrics such as EDR and AFDR.,https://www.aicrowd.com/challenges/airborne-object-tracking-challenge
26,"Artificial Intelligence, Reinforcement Learning, Game AI",no,n/a,no,n/a,no,no,no,"n/a, best performance is measured by how often the agent successfully ascends with the Amulet or achieves the highest median in-game score.",https://www.aicrowd.com/challenges/neurips-2021-the-nethack-challenge
27,Artificial Intelligence Research,no,n/a,no,n/a,no,no,no,"n/a, the competition focuses on the 'True Skill rating' and 'Top1 Ratio' as performance metrics.",https://www.aicrowd.com/challenges/ijcai-2022-the-neural-mmo-challenge
28,"Artificial Intelligence, Reinforcement Learning",no,n/a,no,n/a,no,no,no,"n/a, the competition focuses on the average total reward across evaluation episodes",https://www.aicrowd.com/challenges/neurips-2021-minerl-diamond-competition
29,Digital Humanities,no,n/a,yes,"Participants are required to delete all copies of the dataset upon request, mitigating privacy risks. However, handling of personal data like names and emails is not detailed thoroughly, which could pose privacy concerns.",no,no,no,"n/a, focuses on character error reduction rate (CERR) as the main performance metric.",https://www.aicrowd.com/challenges/htrec-2022
30,Transportation and Logistics,no,n/a,no,n/a,no,no,no,n/a - The competition focuses on the best performance metric: minimal train delay.,https://www.aicrowd.com/challenges/flatland-3
31,Healthcare/Data Science,no,n/a,yes,"Data sensitivity acknowledged; uses a secure ADDI Workbench for submissions. Data is de-identified, but no further details on data protection or consent provisions.",no,no,no,n/a. Focus is on multi-class log-loss as the performance metric.,https://www.aicrowd.com/challenges/addi-alzheimers-detection-challenge
32,Computer Vision and Facial Recognition,no,n/a,yes,"Facial recognition involves sensitive personal data, which could lead to privacy concerns if misused. The description does not discuss how these issues are addressed or mitigated.",yes,no,no,n/a,https://www.aicrowd.com/challenges/ai-blitz-xiii
33,Artificial Intelligence Research,no,n/a,no,n/a,no,no,no,n/a,https://www.aicrowd.com/challenges/neurips-2021-minerl-basalt-competition
34,Autonomous Technology and Racing,no,n/a,no,n/a,no,no,no,n/a with the best performance metric being agent's speed and safety adherence during evaluation.,https://www.aicrowd.com/challenges/learn-to-race-autonomous-racing-virtual-challenge
35,Reinforcement Learning,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on performance measured by the mean normalized return across environments.,https://www.aicrowd.com/challenges/neurips-2020-procgen-competition
36,Natural Language Processing,no,n/a,no,n/a,yes,no,no,"n/a, only focuses on best performance metric",https://www.aicrowd.com/challenges/ai-blitz-xii
37,Autonomous Vehicles,no,n/a,no,n/a,no,no,no,n/a: The competition focuses on performance metrics such as lap time and number of avoided objects.,https://www.aicrowd.com/challenges/neurips-2021-aws-deepracer-ai-driving-olympics-challenge
38,Multiagent Systems/Artificial Intelligence,no,n/a,no,n/a,no,no,no,n/a - Matchmaking Rating (MMR),https://www.aicrowd.com/challenges/the-neural-mmo-challenge
39,Geology and Machine Learning,no,n/a,no,n/a,no,no,no,n/a F1 score and Accuracy are the main performance metrics.,https://www.aicrowd.com/challenges/seismic-facies-identification-challenge
40,Autonomous Vehicles,no,n/a,no,n/a,no,no,no,n/a,https://www.aicrowd.com/challenges/ai-blitz-xi
41,"Machine Learning, Audio Processing",no,n/a,yes,"The challenge uses a closed, confidential test dataset created by Sony, which implies careful handling of data privacy. No personal data privacy issues are mentioned.",no,no,no,n/a. The competition focuses on signal-to-distortion ratio (SDR) as the performance metric.,https://www.aicrowd.com/challenges/music-demixing-challenge-ismir-2021
42,Insurance,no,n/a,yes,"The competition involves the use of real historical car insurance policies, which may contain sensitive personal data. Although data is sourced from a provider, privacy concerns remain due to the nature of the data.",no,no,no,n/a. The focus is on competitive profit and RMSE as evaluation metrics.,https://www.aicrowd.com/challenges/insurance-pricing-game
43,Data Science,no,n/a,no,n/a,yes,no,no,"n/a, focus on real-world problem solving",https://www.aicrowd.com/challenges/ai-blitz-x
44,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,no,n/a; focuses on performance with no mention of transparency or explainability,https://www.aicrowd.com/challenges/ai-blitz-x
45,Natural Language Processing,no,n/a,no,n/a,yes,no,no,"n/a, the competition focuses on classification accuracy and prediction capability.",https://www.aicrowd.com/challenges/ai-blitz-9
46,Transportation and Logistics,no,n/a,no,n/a,no,no,no,"n/a, the primary metric is the normalized return.",https://www.aicrowd.com/challenges/flatland
47,Music Recommendation,no,n/a,yes,"The dataset is anonymized to protect user privacy, but challenges include non-representative sampling and restrictions on data redistribution. The rules prohibit attempts to identify users or reverse engineer Spotify technology.",no,no,no,"n/a. The competition focuses on metrics such as R-precision, NDCG, and Recommended Songs Clicks.",https://www.aicrowd.com/challenges/spotify-million-playlist-dataset-challenge
48,"Food Recognition, Computer Vision, Deep Learning",no,n/a,yes,"The dataset involves personal images from volunteers, which may contain sensitive information. The competition does not explicitly address how these concerns are managed, raising potential privacy issues.",no,no,no,"n/a, the competition focuses on achieving the highest average precision and recall metrics.",https://www.aicrowd.com/challenges/food-recognition-challenge
49,Computer Vision,no,n/a,no,n/a,no,no,no,n/a - focuses on precision and recall metrics,https://www.aicrowd.com/challenges/food-recognition-challenge
50,Agricultural Technology,yes,The competition addresses bias in the dataset due to variations in different global regions and aims to build a robust algorithm to handle it.,no,n/a,no,no,no,n/a. The competition focuses on the Average Domain Accuracy as the main performance metric.,https://www.aicrowd.com/challenges/global-wheat-challenge-2021
51,Artificial Intelligence,no,n/a,no,n/a,no,no,no,"n/a, score is based on average total reward across evaluation episodes",https://www.aicrowd.com/challenges/neurips-2020-minerl-competition
52,"Machine Learning, AI Research",no,n/a,no,n/a,no,no,no,n/a. The competition focuses on average total reward as the primary performance metric.,https://www.aicrowd.com/challenges/neurips-2020-minerl-competition
53,Neuroscience and Machine Learning,no,n/a,no,n/a,no,no,no,n/a: focus is on automating behavior annotation using machine learning models,https://www.aicrowd.com/challenges/multi-agent-behavior-representation-modeling-measurement-and-applications
54,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/ai-blitz-8
55,Reinforcement Learning and Gaming,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/dr-derks-mutant-battlegrounds
56,Artificial Intelligence/Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a, the leaderboard score is based on a weighted sum across different bots.",https://www.aicrowd.com/challenges/dr-derks-mutant-battlegrounds
57,Data Science,no,n/a,no,n/a,no,no,no,"n/a, Jaccard Index / Tanimoto Similarity Score",https://www.aicrowd.com/challenges/learning-to-smell
58,Healthcare and Biodiversity,yes,"Bias in class distribution and potential erroneous and delayed healthcare actions are discussed, especially given the long-tailed distribution and noisy data.",no,n/a,no,no,no,n/a. The primary evaluation metric is a macro-averaged F1 score calculated across countries.,https://www.aicrowd.com/challenges/snakeclef2021-snake-species-identification-challenge
59,Air Traffic Control and Localization,no,n/a,no,n/a,no,no,yes,The competition requires that all source codes be published under the GNU GPLv3 license with sufficient documentation to reproduce results.,https://www.aicrowd.com/challenges/cyd-campus-aircraft-localization-competition
60,AI and Computer Vision,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/ai-blitz-6
61,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a, focuses on Computer Vision task performance",https://www.aicrowd.com/challenges/ai-blitz-6
62,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,no,"n/a, performance metric not specified",https://www.aicrowd.com/challenges/ai-blitz-7
63,Sports Analytics,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on scoring based on proximity to ground truth coordinates as the primary performance metric.,https://www.aicrowd.com/challenges/hockey-player-localization
64,Robotics and Machine Learning,no,n/a,no,n/a,no,no,no,n/a - The primary metric is the performance score based on object positioning accuracy.,https://www.aicrowd.com/challenges/real-2020-robot-open-ended-autonomous-learning
65,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/ai-blitz-5
66,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,no,n/a - focus on performance metrics,https://www.aicrowd.com/challenges/ai-blitz-5
67,Data Science and Machine Learning,no,n/a,no,n/a,yes,no,yes,"Participants are required to open source all their solutions, which implies a level of transparency in sharing methodologies and model outcomes publicly.",https://www.aicrowd.com/challenges/ai-blitz-4
68,Sports Analytics,no,n/a,no,n/a,no,no,no,n/a: Primary scoring is based on distance from the ground truth,https://www.aicrowd.com/challenges/hockey-puck-tracking-challenge
69,Sports and Image Processing,no,n/a,no,n/a,yes,no,no,"n/a, the competition focuses on sorting accuracy with scores based on correctly separated images.",https://www.aicrowd.com/challenges/hockey-team-classification
70,Machine Learning and Biomechanics,no,n/a,no,n/a,no,no,no,n/a (focuses on best performance metrics like score),https://www.aicrowd.com/challenges/neurips-2019-learn-to-move-walk-around
71,Machine Learning/AI,no,n/a,no,n/a,yes,no,no,"n/a, focuses on best performance",https://www.aicrowd.com/challenges/aicrowd-blitz-2
72,Machine Learning/Artificial Intelligence,no,n/a,no,n/a,yes,no,no,"n/a, focuses on learning and solving problems",https://www.aicrowd.com/challenges/aicrowd-blitz-2
73,Machine Learning / Artificial Intelligence,yes,The challenge notes the potential societal impact on fair decision-making and stresses ensuring fairness in disentangled representations.,no,n/a,no,no,yes,"Transparency is required in the form of reproducible results verified by a detailed report on OpenReview, ensuring the proposed methods can be replicated by independent researchers.",https://www.aicrowd.com/challenges/neurips-2019-disentanglement-challenge
74,Reinforcement Learning,no,n/a,no,n/a,no,no,no,"n/a, the competition focuses on performance in solving the MineRLObtainDiamond task efficiently.",https://www.aicrowd.com/challenges/neurips-2019-minerl-competition
75,Transportation and Logistics,no,n/a,no,n/a,no,no,no,n/a. The metric is minimal cumulated travel time for all agents.,https://www.aicrowd.com/challenges/flatland-challenge
76,"Data Science, Semantic Web",no,n/a,no,n/a,no,no,no,"n/a, F1_Score is used as the primary score",https://www.aicrowd.com/challenges/columns-property-annotation-cpa-challenge
77,"Semantic Web, Data Annotation",no,n/a,no,n/a,no,no,no,"n/a. The competition focuses on metrics like AF1, APrecision for Wikidata and AH_Score, AP_Score for DBpedia.",https://www.aicrowd.com/challenges/column-type-annotation-cta-challenge
78,"Semantic Web, Data Annotation",no,n/a,no,n/a,no,no,no,n/a F1_Score is used as the primary score,https://www.aicrowd.com/challenges/cell-entity-annotation-cea-challenge
79,Computer Vision,no,n/a,no,n/a,no,no,no,n/a. The focus is on minimizing the translation and rotation error based on the normalized Relative Pose Error.,https://www.aicrowd.com/challenges/tartanair-visual-slam-mono-track
80,Computer Vision,no,n/a,no,n/a,no,no,yes,"Working notes with full descriptions of methods are mandatory, ensuring reproducibility. However, the competition focuses on the mean Average Precision metric over IoU 0.5 for evaluation.",https://www.aicrowd.com/challenges/imageclef-2020-drawnui
81,Artificial Intelligence and Machine Learning,yes,The competition ensures fairness by providing a unified extensive evaluation system and proper sampling of trajectories for a fair comparison.,no,n/a,no,no,no,"n/a, the competition focuses on final displacement error as a primary metric.",https://www.aicrowd.com/challenges/trajnet-a-trajectory-forecasting-challenge
82,Medical Natural Language Processing,no,n/a,yes,"The competition uses the MIMIC dataset, which contains sensitive personal health information. Access to the dataset is restricted to those who obtain permission, which helps address privacy concerns.",no,no,no,"n/a. The competition focuses on best performance based on the classification of sentences as Entailment, Neutral, or Contradiction.",https://www.aicrowd.com/challenges/mediqa-2019-natural-language-inference-nli
83,Machine Learning/Artificial Intelligence,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/aicrowd-blitz-may-2020
84,Machine Learning/Artificial Intelligence,no,n/a,no,n/a,no,no,no,n/a,https://www.aicrowd.com/challenges/aicrowd-blitz-may-2020
85,Satellite Image Analysis,no,n/a,no,n/a,no,no,no,"n/a, evaluated using F1 score",https://www.aicrowd.com/challenges/epfl-ml-road-segmentation
86,Recommender Systems,no,n/a,yes,"The competition involves user ratings, which may imply privacy concerns regarding user preferences. However, no specific privacy measures or concerns are mentioned.",yes,no,no,n/a. The competition focuses on root-mean-squared error (RMSE) as the evaluation metric.,https://www.aicrowd.com/challenges/epfl-ml-recommender-system-47572853-80a6-48e6-9873-ca57cfea3d3c
87,Data Science / Machine Learning,no,n/a,no,n/a,no,no,no,"n/a, accuracy",https://www.aicrowd.com/challenges/epfl-ml-text-classification
88,Humanitarian Data Analysis,yes,"The competition incentivizes good performance on organizations with less training data, ensuring equal importance across all organizations.",no,n/a,no,no,no,n/a. The focus is on mean accuracy across organizations as the key evaluation metric.,https://www.aicrowd.com/challenges/amld-2020-transfer-learning-for-international-crisis-response
89,Data Privacy and Protection,yes,"The overview discusses ensuring diversity in imputed entities across protected variables, like country names, to avoid bias.",yes,"Data privacy issues are present due to handling sensitive personal information, such as credit card numbers, but the exercise involves creating unrelated PDEs to mask sensitive data.",no,no,no,n/a,https://www.aicrowd.com/challenges/amld-2020-d-avatar-challenge
90,Robotics and Autonomous Learning,no,n/a,no,n/a,no,no,yes,Code inspection is required to ensure compliance with rules and spirit; transparency implied through open-source requirement.,https://www.aicrowd.com/challenges/neurips-2019-robot-open-ended-autonomous-learning
91,Autonomous Driving,no,n/a,no,n/a,no,no,no,n/a Mean-squared-error (MSE) performance for steering wheel angle and vehicle speed predictions,https://www.aicrowd.com/challenges/iccv-2019-learning-to-drive-challenge
92,Artificial Intelligence,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on the highest average level reached by the agent.,https://www.aicrowd.com/challenges/unity-obstacle-tower-challenge
93,Natural Language Processing in Healthcare,no,n/a,yes,"The data involves medical question answering, potentially implicating sensitive medical information and user data privacy concerns. No explicit measures are discussed to address these issues.",no,no,no,n/a,https://www.aicrowd.com/challenges/mediqa-2019-recognizing-question-entailment-rqe
94,Medical NLP,no,n/a,yes,"Potential privacy issues stem from using medical question datasets which might contain sensitive personal health information, but the competition does not specify measures for addressing these issues.",no,no,no,"n/a. The competition focuses on Accuracy, MRR, Precision, and Spearman’s Rank Correlation Coefficient.",https://www.aicrowd.com/challenges/mediqa-2019-question-answering-qa
95,Semantic Web and Ontology,no,n/a,no,n/a,no,no,no,n/a; Focus is on F1 Score as primary performance metric.,https://www.aicrowd.com/challenges/iswc-2019-column-type-annotation-cta-challenge
96,"Semantic Web, Knowledge Graphs",no,n/a,no,n/a,no,no,no,n/a; the metric is F1 Score as the primary score.,https://www.aicrowd.com/challenges/iswc-2019-cell-entity-annotation-cea-challenge
97,Data Science/AI,no,n/a,no,n/a,no,no,no,n/a. The competition uses F1 Score as the primary metric and Precision as the secondary metric.,https://www.aicrowd.com/challenges/iswc-2019-columns-property-annotation-cpa-challenge
98,Music Streaming and Recommender Systems,no,n/a,yes,"The dataset involves user interactions with streamed content, potentially containing sensitive user behavior data. Privacy concerns are mitigated by anonymizing interactions and focusing on aggregate usage statistics, but handling real user data introduces privacy concerns.",no,no,no,n/a. The competition focuses on Mean Average Accuracy as the primary metric.,https://www.aicrowd.com/challenges/spotify-sequential-skip-prediction-challenge-old
99,Humanitarian Mapping and Machine Learning,no,n/a,no,"The dataset consists of satellite imagery, which does not contain sensitive personal information. Therefore, no data privacy issues are mentioned.",no,no,no,n/a. The competition focuses on Intersection Over Union (IoU) as the primary performance metric.,https://www.aicrowd.com/challenges/mapping-challenge-old
100,Healthcare,no,n/a,yes,"The data originates from a health survey, which may include sensitive personal information. It is unclear how privacy measures are implemented, but potential concerns exist regarding the handling and protection of sensitive data.",no,no,no,n/a. The competition focuses on simple classification accuracy as the performance metric.,https://www.aicrowd.com/challenges/epfl-machine-learning-project-1
101,Agriculture/Technology,no,n/a,no,n/a,no,no,no,n/a. The competition evaluates submissions based on a Multi Class Log Loss evaluation function and Mean F1 score.,https://www.aicrowd.com/challenges/plantvillage-disease-classification-challenge-old
102,Agriculture Technology,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on accuracy as measured by the Multi Class Log Loss and Mean F1 score.,https://www.aicrowd.com/challenges/plantvillage-disease-classification-challenge
103,Medical Image Analysis,no,n/a,no,"The dataset comprises images from open access biomedical journal articles, which are publically available, implying a lack of data privacy issues.",no,no,no,"n/a, BLEU scores",https://www.aicrowd.com/challenges/imageclef-2018-caption-caption-prediction
104,Medical Imaging,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on F1 score as the performance metric.,https://www.aicrowd.com/challenges/imageclef-2018-caption-concept-detection
105,Medical Imaging,no,n/a,yes,"The data includes CT images and clinically relevant metadata which could be sensitive. The End User Agreement is required, which indicates efforts to protect data privacy.",no,no,no,n/a. The competition uses ROC-curves as the main performance metric.,https://www.aicrowd.com/challenges/imageclef-2018-tuberculosis-mdr-detection
106,Medical Imaging,no,n/a,no,n/a,no,no,no,"n/a, F1 score",https://www.aicrowd.com/challenges/imageclef-2019-caption-concept-detection
107,Medical Imaging,no,n/a,yes,"Data privacy concerns exist due to the use of patient CT images and associated metadata like smoking habits and comorbidities. These sensitive details require strict privacy measures. The competition mandates signing an End User Agreement, but potential for data misuse or unauthorized sharing is not addressed in depth.",no,no,no,n/a AUC and accuracy are the primary evaluation metrics.,https://www.aicrowd.com/challenges/imageclef-2019-tuberculosis-severity-scoring
108,Medical Imaging,no,n/a,yes,"The use of CT scans and metadata may involve handling sensitive health information. Data privacy is addressed through the requirement of an End User Agreement, although specific data privacy measures are not detailed.",no,no,no,n/a; The competition focuses on average AUC and min AUC as performance metrics.,https://www.aicrowd.com/challenges/imageclef-2019-tuberculosis-ct-report
109,Bioacoustics,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on Mean Reciprocal Rank (MRR) as the performance metric.,https://www.aicrowd.com/challenges/lifeclef-2018-bird-monophone
110,Machine Learning and Botanical Research,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on top-1 accuracy as the primary evaluation metric.,https://www.aicrowd.com/challenges/lifeclef-2019-plant
111,Biodiversity Informatics,no,n/a,no,n/a,no,no,no,n/a. The main evaluation metric is Top30 accuracy.,https://www.aicrowd.com/challenges/lifeclef-2019-geo
112,Data Science,no,n/a,no,n/a,yes,no,no,"n/a, F1 score",https://www.aicrowd.com/challenges/labor
113,Information Retrieval,no,n/a,yes,"The competition involves sensitive personal information, such as biometrics and personal activities. Participants must sign an End User Agreement to ensure compliance, yet potential risks remain if data governance is inadequate.",no,no,no,"n/a, focuses on F1-measure@10 as the primary evaluation metric.",https://www.aicrowd.com/challenges/imageclef-2020-lifelog-lmrt
114,Multimodal Information Retrieval and Evaluation,no,n/a,yes,"There is potential for data privacy issues due to the collection of sensitive personal information such as heart rate, weight, and sleeping patterns. The competition requires an End User Agreement (EUA), which suggests some level of protection.",no,no,no,n/a - The competition focuses on metrics like correct positive or negative change and difference between predicted and actual change.,https://www.aicrowd.com/challenges/imageclef-2020-lifelog-spll
115,Environmental Monitoring and Computer Vision,no,n/a,no,n/a,no,no,no,"n/a, focuses on Mean Average Precision (MAP) using IoU >=0.5 as the performance metric.",https://www.aicrowd.com/challenges/imageclef-2020-coral-annotation-and-localisation
116,Data Science,no,n/a,no,n/a,yes,no,no,"n/a, focus is on solving AI puzzles with real-world themes like Sustainable Development Goals.",https://www.aicrowd.com/challenges/ai-for-good-ai-blitz-3
117,Data Science,no,n/a,no,n/a,yes,no,no,n/a,https://www.aicrowd.com/challenges/ai-for-good-ai-blitz-3
118,Environmental Science,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on intersection over union (IoU) as the primary performance metric.,https://www.aicrowd.com/challenges/imageclef-2020-coral-pixel-wise-parsing
119,Medical Image Analysis,no,n/a,yes,"The competition involves the use of medical radiology images, which are sensitive. Privacy concerns are implied by the requirement for an End User Agreement, but explicit data privacy measures are not detailed.",no,no,no,"n/a, focus is on producing reproducible results and methodological clarity, not transparency itself.",https://www.aicrowd.com/challenges/imageclef-2020-vqa-med-vqa
120,Medical Imaging/Information Retrieval,no,n/a,no,n/a,no,no,no,"n/a, the competition focuses on F1 scores as the main performance metric.",https://www.aicrowd.com/challenges/imageclef-2020-caption-concept-detection
121,Medical Imaging,no,n/a,yes,"The requirement to sign an End User Agreement and motivation letter indicates attention to data privacy, although specific data privacy measures are not detailed.",no,no,no,"n/a, The competition focuses on average AUC and min AUC as performance metrics.",https://www.aicrowd.com/challenges/imageclef-2020-tuberculosis-ct-report
122,Medical Imaging,no,n/a,yes,"The competition involves medical images, which inherently carry data privacy concerns. However, specific measures addressing these issues are not detailed in the description.",no,no,no,n/a; the competition focuses on generating relevant natural language questions about radiology images.,https://www.aicrowd.com/challenges/imageclef-2020-vqa-med-vqg
123,Computer Vision,no,n/a,yes,"Data involves images of faces, which can raise privacy concerns. The description does not mention measures to anonymize or protect this data.",no,no,no,n/a. The competition focuses on Intersection Over Union (IoU) metric for model evaluation.,https://www.aicrowd.com/challenges/maskd
124,Medical Image Segmentation,no,n/a,yes,"Sensitive patient imaging data is used, but specifics of data anonymization or privacy protection are not detailed in the description.",no,no,no,n/a. The competition focuses on Dice Similarity Coefficient (DSC) metric for performance evaluation.,https://www.aicrowd.com/challenges/miccai-2020-hecktor
125,Recommender Systems,no,n/a,yes,"The dataset involves user interactions, which could raise privacy concerns. However, issues aren't directly discussed, nor are safeguards detailed, allowing potential gaps in privacy protection.",no,no,no,n/a. The competition focuses on Mean Average Accuracy as the primary metric.,https://www.aicrowd.com/challenges/spotify-sequential-skip-prediction-challenge
126,Ornithology and Environmental Monitoring,no,n/a,no,n/a,no,no,no,"n/a, the competition focuses on mean average precision as the main evaluation metric.",https://www.aicrowd.com/challenges/lifeclef-2020-bird-monophone
