,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,toy,red_team,transparency_mentioned,how_transparency,url
12,Conservation and Wildlife Monitoring,no,n/a,no,n/a,no,no,no,n/a MAE,https://www.drivendata.org/competitions/82/competition-wildlife-video-depth-estimation/
13,Disaster Management,no,n/a,no,n/a,no,no,no,"n/a, Jaccard index (IoU) is the metric",https://www.drivendata.org/competitions/81/detect-flood-water/
14,Social Media Content Moderation,no,n/a,yes,The data comprises images possibly sourced from public platforms. Issues might include copyright concerns and the ethical use of images for derived query components. Privacy measures and dataset consent are not detailed.,no,no,no,n/a. The competition focuses on micro-average precision as the evaluation metric.,https://www.drivendata.org/competitions/group/image-similarity-challenge/
15,Remote Sensing and Geospatial Analysis,no,n/a,no,n/a,no,no,no,n/a - the metric is R2 for heights and flow vectors.,https://www.drivendata.org/competitions/78/overhead-geopose-challenge/
16,Space Weather Forecasting,no,n/a,no,n/a,no,no,no,"n/a, evaluated by RMSE",https://www.drivendata.org/competitions/73/noaa-magnetic-forecasting/
17,Meteorology and Climate Science,no,n/a,no,n/a,no,no,no,n/a; RMSE,https://www.drivendata.org/competitions/72/predict-wind-speeds/
18,Elections/Political Science,no,n/a,no,n/a,no,no,no,n/a Root mean squared error is the single best performance metric used.,https://www.drivendata.org/competitions/71/election-competition-2020/
19,Data Privacy and Security,no,n/a,yes,"The challenge focuses on differential privacy to handle privacy concerns around temporal data mapping, ensuring individuals' data utility is preserved while protecting privacy. However, effectively balancing privacy with data utility remains challenging.",no,no,no,n/a. The competition focuses on the k-marginal evaluation metric to score privacy algorithms.,https://www.drivendata.org/competitions/group/competition-differential-privacy-deid2/
20,Healthcare,no,n/a,yes,"The competition involves medical data (biopsy slides) that can be sensitive. It is not specified how privacy concerns are addressed, e.g., through anonymization or consent, which raises potential privacy issues.",no,no,no,n/a. The competition focuses on a custom metric for performance evaluation.,https://www.drivendata.org/competitions/67/competition-cervical-biopsy/
21,Synthetic Biology,no,n/a,no,n/a,no,no,no,n/a: top ten accuracy,https://www.drivendata.org/competitions/63/genetic-engineering-attribution/
22,Healthcare,no,n/a,no,n/a,no,no,no,n/a. The metric is Matthew's correlation coefficient (MCC).,https://www.drivendata.org/competitions/65/clog-loss-alzheimers-research/
23,Artificial Intelligence,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on maximizing the AUC ROC score.,https://www.drivendata.org/competitions/group/hateful-memes/
24,Public Health,no,n/a,yes,"The dataset involves health-related information, which may raise privacy concerns. However, the description does not specify how privacy is addressed.",no,no,no,n/a Performance is evaluated based on ROC AUC scores.,https://www.drivendata.org/competitions/66/flu-shot-learning/
25,Urban Planning and Disaster Management,yes,The competition featured a Responsible AI track focusing on the ethical implications of using ML in disaster risk contexts.,no,n/a,no,no,no,"n/a Jaccard index is the sole metric mentioned, focusing on model accuracy.",https://www.drivendata.org/competitions/60/building-segmentation-disaster-resilience/
26,Conservation and Ecology,no,n/a,no,n/a,no,no,no,"n/a, mean aggregated binary log loss",https://www.drivendata.org/competitions/59/camera-trap-serengeti/
27,Disaster Risk Assessment,no,n/a,no,n/a,no,no,no,n/a: log loss,https://www.drivendata.org/competitions/58/disaster-response-roof-type/
28,Disaster Response,no,n/a,no,n/a,no,no,no,"n/a, micro averaged F1 score",https://www.drivendata.org/competitions/57/nepal-earthquake/
29,Food & Beverage Industry,no,n/a,no,n/a,no,no,no,n/a. The metric is mean adjusted absolute percent error.,https://www.drivendata.org/competitions/56/predict-cleaning-time-series/
30,Energy Management,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on a normalized version of mean absolute error.,https://www.drivendata.org/competitions/55/schneider-cold-start/
31,Healthcare,no,n/a,no,n/a,yes,no,no,"n/a, the metric is binary log loss",https://www.drivendata.org/competitions/54/machine-learning-with-a-heart/
32,Energy Management,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on minimizing the money spent over the simulation period.,https://www.drivendata.org/competitions/53/optimize-photovoltaic-battery/
33,Energy Efficiency,no,n/a,no,n/a,no,no,no,n/a. precision and recall,https://www.drivendata.org/competitions/52/anomaly-detection-electricity/
34,Energy Consumption Forecasting,no,n/a,no,n/a,no,no,no,n/a (Weighted Root Mean Squared Error),https://www.drivendata.org/competitions/51/electricity-prediction-machine-learning/
35,International Development and Poverty Reduction,no,n/a,yes,The survey contains sensitive personal data such as household assets and consumption patterns which could pose privacy issues if not anonymized and secured properly.,no,no,no,n/a. The metric used is mean log loss.,https://www.drivendata.org/competitions/50/worldbank-poverty-prediction/
36,Wildlife Conservation,no,n/a,no,n/a,no,no,no,n/a - mean aggregated binary log loss,https://www.drivendata.org/competitions/49/deep-learning-camera-trap-animals/
37,Fisheries Management and Computer Vision,no,n/a,no,n/a,no,no,no,"n/a, the metric is a weighted combination of individual metrics for each task.",https://www.drivendata.org/competitions/48/identify-fish-challenge/
38,Environmental Science,yes,The competition allows for alternative prediction approaches to be explored without bias from researchers’ prior expectations.,no,n/a,no,no,no,n/a. The competition focuses on adjusted MAPE calculation as the performance metric.,https://www.drivendata.org/competitions/47/penguins/
39,Education,no,n/a,no,n/a,no,no,no,"n/a, probabilities for each label",https://www.drivendata.org/competitions/46/box-plots-for-education-reboot/
40,Epidemiology/Public Health,no,n/a,no,"The data appears to be aggregated and devoid of personal identifiers, reducing privacy concerns.",no,no,no,n/a. The competition focuses on mean absolute error as the sole performance metric.,https://www.drivendata.org/competitions/44/dengai-predicting-disease-spread/
41,Political Forecasting,no,n/a,yes,"The use of various datasets could include sensitive election-related data, potentially breaching voter privacy. There’s no mention of data handling measures or compliance with privacy standards.",no,no,no,n/a,https://www.drivendata.org/competitions/43/americas-next-top-statistical-model/
42,Healthcare Technology,no,n/a,yes,"The potential issues stem from using sensor data from older adults, which may capture personal and sensitive information. The description does not mention how privacy concerns are addressed.",no,no,no,n/a 90% accuracy,https://www.drivendata.org/competitions/42/senior-data-science-safe-aging-with-sphere/
43,Environmental Science,no,n/a,no,n/a,no,no,no,n/a,https://www.drivendata.org/competitions/9/from-fog-nets-to-neural-nets/
44,Environmental Science,no,n/a,no,n/a,no,no,no,n/a,https://www.drivendata.org/competitions/8/naive-bees-classifier/
45,Public Health/Restaurant Inspection,no,n/a,yes,"The use of detailed Yelp reviews, which may include personal opinions and identifiable information, raises privacy concerns related to unauthorized data usage or exposure.",no,no,no,n/a - The competition focuses on prediction performance for health code violations.,https://www.drivendata.org/competitions/5/keeping-it-fresh-predict-restaurant-inspections/
46,Healthcare,no,n/a,yes,"The dataset contains sensitive personal information (demographics, pregnancies), which necessitates careful handling to prevent privacy breaches, though details on measures to protect privacy are not provided.",no,no,no,n/a,https://www.drivendata.org/competitions/6/countable-care-modeling-womens-health-care-decisions/
47,Water Resource Management,no,n/a,no,n/a,yes,no,no,n/a,https://www.drivendata.org/competitions/7/pump-it-up-data-mining-the-water-table/
48,Education,no,n/a,no,n/a,no,no,no,n/a. The competition focuses on model accuracy as the performance metric.,https://www.drivendata.org/competitions/4/box-plots-for-education/
49,Healthcare,no,n/a,yes,"Potential data privacy issues exist if personal identifiers are included. However, there's no explicit mention of sensitive data or privacy management approaches.",yes,no,no,n/a - log loss,https://www.drivendata.org/competitions/2/warm-up-predict-blood-donations/
50,Global Development and Economics,no,n/a,no,n/a,no,no,no,n/a,https://www.drivendata.org/competitions/1/united-nations-millennium-development-goals/
51,Education,no,n/a,yes,"The data includes videos and audio from classrooms, which may contain sensitive information about children and teachers. Data access agreements are mentioned, indicating measures are in place to protect privacy.",no,no,no,n/a. The competition focuses on macro-weighted F1-score as the metric.,https://www.drivendata.org/competitions/group/competition-uva-aiai-challenge/
52,Academic Research,no,n/a,no,n/a,yes,no,no,n/a. The competition focuses on the average F1 of the ROUGE-2 score per document.,https://www.drivendata.org/competitions/297/whats-up-docs/
53,Education/EdTech,no,n/a,yes,The dataset includes audio clips of children's voices which may have privacy implications. Important to ensure informed consent and secure storage protocols are in place.,no,no,no,"n/a, performance is evaluated according to log loss.",https://www.drivendata.org/competitions/298/literacy-screening/
54,Mental Health Research,no,n/a,yes,"The NVDRS contains sensitive data like law enforcement and medical reports, implying serious privacy concerns. The competition doesn't detail measures to handle these, highlighting a potential gap in data protection and consent processes.",no,no,no,n/a. The competition focused on achieving the best F1 score as the performance metric.,https://www.drivendata.org/competitions/group/cdc-narratives/
55,Space and Aerospace,no,n/a,no,n/a,no,no,no,"n/a, single best performance metric: Jaccard index (Generalized IoU) and pose error score",https://www.drivendata.org/competitions/group/competition-nasa-spacecraft/#competition_list
56,Healthcare,no,n/a,yes,"The dataset includes de-identified clinical notes, and access requires registration and a training course, which addresses privacy concerns. However, data privacy needs strict adherence to handling and access protocols.",no,no,no,"n/a, class macro-averaged character intersection-over-union (IoU)",https://www.drivendata.org/competitions/258/competition-snomed-ct/
57,Environmental Science/Conservation,no,n/a,no,n/a,no,no,no,n/a - the metric is Dice Coefficient,https://www.drivendata.org/competitions/255/kelp-forest-segmentation/
58,Environmental Data Science,yes,"The competition evaluates how the team has engaged with affected communities, historical, social, and political contexts, demonstrating ethical and equitable science.",no,n/a,no,no,yes,"Transparency is discussed through the usability criterion, emphasizing that others in the research community should understand and build on the work, with the process being open and transparent.",https://www.drivendata.org/competitions/256/pale-blue-dot/
59,Water Resource Management,yes,"Fairness is considered through the evaluation of rigor, with emphasis on avoiding data leakage and assessing biases.",no,n/a,no,no,yes,Explainability and communication are encouraged through a bonus track for creating clear forecast summaries for end users.,https://www.drivendata.org/competitions/group/reclamation-water-supply-forecast/
60,Healthcare Research,yes,"The competition emphasizes exploring and addressing potential biases in the data and model, evaluating strategies for bias mitigation.",yes,"Potential issues include sensitive health and demographic data, with no details on anonimization. Ethical handling and secure storage are essential but specifics are not provided.",no,no,yes,The competition includes an Explainability Bonus Track to ensure model outputs are understandable for preclinical patients and care providers.,https://www.drivendata.org/competitions/group/nih-nia-alzheimers-adrd-competition/
61,Artificial Intelligence,no,n/a,no,n/a,no,no,no,n/a Effectiveness,https://www.drivendata.org/competitions/252/ai-research-assistants/
62,Healthcare,no,n/a,yes,"The data includes injury records from emergency departments, which may contain sensitive personal health information. While manually extracted, the potential risk of privacy breaches exists if re-identification is possible.",no,no,no,n/a,https://www.drivendata.org/competitions/217/cdc-fall-narratives/
63,Healthcare,no,n/a,yes,The dataset includes sensitive medical data such as diagnostic microscopic slides of melanoma. The competition involves handling potentially personal health information which requires strict adherence to data privacy regulations.,no,no,no,"n/a, log loss is the primary evaluation metric.",https://www.drivendata.org/competitions/148/visiomel-melanoma/
64,Aviation/Transportation,no,n/a,yes,"The model includes public and private variables; private variables are accessed only by the producing airline, protecting proprietary information.",no,no,no,"n/a, focuses on Mean Absolute Error (MAE) as the primary performance metric.",https://www.drivendata.org/competitions/group/competition-nasa-airport-pushback/
65,Environmental Science,no,n/a,no,n/a,no,no,no,n/a RMSE,https://www.drivendata.org/competitions/143/tick-tick-bloom/
