name,url,category,fairness_bias_mentioned,how_fairness,data_privacy,how_data_privacy,transparency_mentioned,how_transparency,data_explainability,how_explainability,post_competition_model_use,how_model_use,toy,how_toy,red_team,how_red_team
Sound Sentiment Prediction,https://www.aicrowd.com/challenges/sound-sentiment-prediction,speech processing,no,n/a,no,n/a,yes,"The starter kit breaks down everything from downloading the dataset, loading the libraries, processing the data, creating, training, and testing the model. It contains in-depth instructions.",no,n/a - F1 Score,no,n/a,yes,The competition is repeatedly referred to as a 'puzzle' and focuses on learning outcomes: 'What You’ll Learn How to play with sound data How to perform sentiment classification'. It is also described as a 'free Blitz puzzle'.,no,n/a
Airborne Object Tracking Challenge,https://www.aicrowd.com/challenges/airborne-object-tracking-challenge,aerospace,no,n/a,no,n/a,yes,"The competition details the data collection process and requires winners to submit code for reproducibility. ""To receive a prize, the Team must...submit its training code and a detailed document describing its training process...sufficient for a practitioner in computer science to reproduce the results.""",no,n/a - EDR / AFDR,yes,"The competition states that winning teams may be offered an opportunity to present their work. ""The winning teams for each benchmark may be offered the opportunity to give a 15-minute oral presentation at an ICCV Workshop(International Conference on Computer Vision).""",no,n/a,no,n/a
Labor,https://www.aicrowd.com/challenges/labor,social science,no,n/a,no,n/a,yes,"The rules require reproducibility and open code for prize eligibility: 'To be eligible for the prizes, participants will have to release the code to their solutions under an open source license of their choice. The submitted code is expected to be reproducible...'",no,n/a - F1 score,yes,"The rules state a potential use for winning entries: 'Acceptance of prize constitutes permission for AIcrowd to use winner’s name, likeness, and Entry for purposes of advertising and trade without further compensation, unless prohibited by law.'",yes,The competition is described as educational: 'Aicrowd Blitz has for its purpose providing education and the encouragement of updating one's knowledge.',no,n/a
MEDIQA 2021 - Multi-Answer Summarization (MAS),https://www.aicrowd.com/challenges/mediqa-2021-multi-answer-summarization-mas,healthcare,no,n/a,yes,"The competition requires participants to sign a 'data usage agreement form' to access the test data, indicating specific rules for data handling. Quote: 'The registration & data usage agreement form is available under the Resources section of the AIcrowd projects.'",yes,Participants are required to describe their methods and submit a full paper for their results to be considered official. Quote: 'The final results will not be considered official until a working notes paper with the full description of the methods is submitted.',no,n/a - ROUGE,yes,The competition results and methods are intended for publication in academic papers for a workshop. Quote: 'The final results will not be considered official until a working notes paper with the full description of the methods is submitted. ... BioNLP Workshop @NAACL'21',no,n/a,no,n/a
Hockey Puck Tracking Challenge,https://www.aicrowd.com/challenges/hockey-puck-tracking-challenge,computer vision,no,n/a,no,n/a,yes,"The rules mandate reproducibility for submitted solutions. 'The results achieved by the solver must be reproducible on the challenge dataset. ... If there are randomized portions of your approach, be sure to include seeds to make the runs repeatable.'",no,n/a - distance from ground truth,yes,"The rules state that prize-winning solutions must be transferred to the organizer. 'To be eligible for the prizes, participants will have to release the code to the Organizer. Unless otherwised agreed upon no portion of the solution may be released.'",no,n/a,no,n/a
EPFL ML Road Segmentation,https://www.aicrowd.com/challenges/epfl-ml-road-segmentation,computer vision,no,n/a,no,n/a,yes,"The competition provides helper scripts for creating and interpreting submission files, which aids in transparency and reproducibility. 'mask_to_submission.py - script to make a submission file from a binary image submission_to_mask.py - script to reconstruct an image...'",no,n/a - F1 score,no,n/a,yes,"The competition is explicitly linked to a course, suggesting it is for educational or practice purposes. 'Please see detailed instructions on the course github.'",no,n/a
ImageCLEF 2018 Caption - Caption prediction,https://www.aicrowd.com/challenges/imageclef-2018-caption-caption-prediction,healthcare,no,n/a,yes,The rules state that participants must sign a legal agreement to access the data. Quote: 'In order to participate in this challenge you have to sign an End User Agreement (EUA).',yes,Reproducibility of the submitted methods is mandatory for official results. Quote: 'Any run that could not be reproduced thanks to its description in the working notes might be removed from the official publication of the results.',no,n/a - BLEU,yes,"The competition states that selected contributions will be invited for publication. Quote: 'Selected contributions among the participants, will be invited for publication in the following year in the Springer Lecture Notes in Computer Science (LNCS)...'",no,n/a,no,n/a
OBJDE,https://www.aicrowd.com/challenges/objde,computer vision,no,n/a,no,n/a,yes,"Prize eligibility requires reproducible, open-source code. Quote: 'To be eligible for the prizes, participants will have to release the code to their solutions under an open-source license of their choice. The submitted code is expected to be reproducible...'",no,n/a - Average Precision (AP),yes,"Winning solutions must be released as open-source code. Quote: 'To be eligible for the prizes, participants will have to release the code to their solutions under an open-source license of their choice.'",yes,"The competition provides starter kits and is framed for learning. Quote: 'To help you ""Get Started"" we have a starter kit available for each of these problems. We hope they are helpful...'",no,n/a
ImageCLEF 2021 VQA-Med - VQA,https://www.aicrowd.com/challenges/imageclef-2021-vqa-med-vqa,healthcare,no,n/a,yes,The competition requires participants to sign an End User Agreement (EUA) to access the data. Quote: 'Note: In order to participate in this challenge you have to sign an End User Agreement (EUA). You will find more information on the 'Resources' tab.',yes,"Reproducibility is a requirement, enforced by mandatory publication of methods. Quote: 'Submitting a working note with the full description of the methods used in each run is mandatory. Any run that could not be reproduced... might be removed from the official publication of the results.'",no,n/a - Evaluation metric not specified,yes,"Participant solutions are documented in working notes for publication, and some are invited for further publication. Quote: 'Selected contributions among the participants, will be invited for publication in the following year in the Springer Lecture Notes in Computer Science (LNCS).'",no,n/a,no,n/a
NeurIPS 2020: MineRL Competition,https://www.aicrowd.com/challenges/neurips-2020-minerl-competition,gaming,no,n/a,no,n/a,yes,Entries to the MineRL challenge must be 'open.' Teams will be expected to reveal most details of their method including source-code (special exceptions may be made for pending publications).,no,n/a - average total reward,yes,Round 1 winning teams invited to the conference to present their results. ... Winning teams invited to the conference to present their results. Awards given at conference.,no,n/a,no,n/a
